player_name,hs_name,hs_state,grad_year,birth_date,college,college_years,drafted,nba_team
Zach Edey,IMG Academy,FL,2020,2002-05-14,Purdue,2020-2024,True,Memphis Grizzlies
Anthony Edwards,Holy Spirit Prep,GA,2019,2001-08-05,Georgia,2019-2020,True,Minnesota Timberwolves
Cade Cunningham,Montverde Academy,FL,2020,2001-09-25,Oklahoma State,2020-2021,True,Detroit Pistons
Jalen Green,Prolific Prep,CA,2020,2002-02-09,G League Ignite,2020-2021,True,Houston Rockets
Zion Williamson,Spartanburg Day,SC,2018,2000-07-06,Duke,2018-2019,True,New Orleans Pelicans
RJ Barrett,Montverde Academy,FL,2018,2000-06-14,Duke,2018-2019,True,Toronto Raptors
Cam Reddish,Westtown,PA,2018,1999-09-01,Duke,2018-2019,True,Los Angeles Lakers
Jalen Suggs,Minnehaha Academy,MN,2020,2001-06-03,Gonzaga,2020-2021,True,Orlando Magic
Scottie Barnes,University School,FL,2020,2001-08-01,Florida State,2020-2021,True,Toronto Raptors
